City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Morondava,MG,86.74,broken clouds,-20.28,44.28,La Case Bambou
435,Marawi,PH,78.01,light rain,8.0,124.29,Derogongan Residence
439,Kailua,US,80.6,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
440,Puri,IN,86.0,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
447,Todos Santos,MX,80.01,clear sky,23.45,-110.22,Hotel California Todos Santos
448,Kidal,ML,75.2,clear sky,18.44,1.41,
450,Tampilisan,PH,75.47,light rain,8.02,122.68,Vital Nature Farm Philippines
451,Marzuq,YE,77.99,clear sky,14.4,46.47,
453,Umm Lajj,SA,89.24,clear sky,25.02,37.27,Moon light Furnished Units
460,Yulara,AU,78.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
461,San-Pedro,CI,75.51,light rain,4.75,-6.64,Hotel Maria
463,Khalilabad,IN,87.89,clear sky,26.77,83.07,Vishwakarma Aluminum Center
465,Chililabombwe,ZM,80.04,overcast clouds,-12.36,27.82,Tabernacle Guest Lodge
469,Tete,MZ,82.4,clear sky,-16.16,33.59,Zambeze Paraíso Misterioso
471,Taunggyi,MM,76.87,overcast clouds,20.78,97.03,True Treasure Hotel
474,Pochutla,MX,77.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
478,Jacmel,HT,82.4,broken clouds,18.23,-72.53,Hotel Florita
480,Ashqelon,IL,79.0,scattered clouds,31.67,34.57,Leonardo Ashkelon
485,Tabou,CI,76.84,light rain,4.42,-7.35,hotêl doufoulougou
491,Butterworth,MY,86.0,heavy intensity rain,5.4,100.36,Cititel Penang
497,Kimbe,PG,82.92,light rain,-5.55,150.14,Kimbe Bay Hotel
502,San Andres,CO,80.6,overcast clouds,12.58,-81.7,Hotel Arena Blanca
503,Afua,BR,76.5,broken clouds,-0.16,-50.39,Hotel Dias
505,Maholi,IN,89.46,clear sky,27.67,80.47,KISHAN TRACTOR SPEARE PARTS
506,Sorong,ID,84.9,heavy intensity rain,-0.88,131.25,The Waigo Hotel
507,Port Blair,IN,84.31,moderate rain,11.67,92.75,Fortune Resort Bay Island
511,Chaozhou,CN,82.4,clear sky,23.67,116.64,Seven Corner View Homestay
515,Banda Aceh,ID,81.9,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
518,Kirakira,SB,81.23,light rain,-10.45,161.92,SanBiz Lodge
521,Kinshasa,CD,75.2,broken clouds,-4.32,15.32,Kabinda Center
523,Emerald,AU,89.6,scattered clouds,-23.53,148.17,The Irish Village
525,Kalur Kot,PK,85.98,clear sky,32.16,71.26,CHAAND STREET
528,Alice Springs,AU,77.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
529,Itarema,BR,80.08,overcast clouds,-2.92,-39.92,Windvillage
533,Amahai,ID,83.64,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
538,Rawah,IQ,82.33,overcast clouds,34.48,41.91,المملكة الراوية الهاشمية
542,Taixing,CN,75.0,clear sky,32.17,120.01,7Days Inn Taixing Drum Tower South Road
543,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
544,Padang,ID,85.87,scattered clouds,-0.95,100.35,Mercure Padang
548,Marsa Matruh,EG,75.2,scattered clouds,31.35,27.25,Beau Site
549,Makakilo City,US,77.0,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
552,Lufilufi,WS,77.0,light intensity drizzle,-13.87,-171.6,Leuaina Beach Resort and Spa
553,Xuddur,SO,81.61,moderate rain,4.12,43.89,Banjanay Hotel
556,Kavaratti,IN,86.0,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
557,Mairwa,IN,88.02,clear sky,26.23,84.15,Shri Krishna Dharmshala
561,Mangai,CD,77.56,overcast clouds,-4.05,19.53,
562,Sambava,MG,80.26,clear sky,-14.27,50.17,Melrose
566,Manado,ID,89.6,scattered clouds,1.49,124.85,Aryaduta Hotel
568,Aswan,EG,80.22,clear sky,24.09,32.91,Nuba Nile
571,Sao Filipe,CV,80.74,overcast clouds,14.9,-24.5,Tortuga B&B
572,Tautira,PF,77.0,broken clouds,-17.73,-149.15,Pension Oaoa
573,Alenquer,BR,75.2,few clouds,-1.94,-54.74,Josilene Castro
576,Kalmunai,LK,89.73,overcast clouds,7.42,81.82,VS Villa
577,Yeppoon,AU,77.0,light rain,-23.13,150.73,Villa Mar Colina
584,Kilindoni,TZ,80.83,scattered clouds,-7.91,39.67,Bustani B&B
585,Kaduqli,SD,84.61,clear sky,11.02,29.72,فندق الله جابو
586,Nakhon Thai,TH,87.8,few clouds,17.1,100.84,Phet resort
588,Bubaque,GW,82.53,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
591,Fare,PF,80.01,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
596,Kijini,TZ,84.2,scattered clouds,-5.85,39.32,Seles Bungalows
598,Lagdo,CM,81.63,overcast clouds,9.05,13.73,
603,Auki,SB,81.18,moderate rain,-8.77,160.7,Auki Motel
604,Maningrida,AU,85.84,light rain,-12.07,134.27,Dhukurrdji Lodge
610,Port Moresby,PG,87.8,haze,-9.44,147.18,Lamana Hotel
611,Bosaso,SO,87.8,clear sky,11.28,49.18,Red Sea Hotel
614,Gushikawa,JP,77.0,scattered clouds,26.35,127.87,Kirari Guest House
617,Obo,CF,79.09,overcast clouds,5.4,26.49,
619,Meulaboh,ID,84.0,overcast clouds,4.14,96.13,Kost Pria
620,Lichinga,MZ,77.02,scattered clouds,-13.31,35.24,Residencial Bendiak
621,Kuliyapitiya,LK,86.0,scattered clouds,7.47,80.04,Rest House
626,Benguela,AO,77.0,broken clouds,-12.58,13.41,Hotel Praia Morena
628,Malanje,AO,75.06,broken clouds,-9.54,16.34,Malanje Hotel
644,Gunjur,GM,77.0,few clouds,13.2,-16.73,Kuba Lodge
648,Kendari,ID,88.16,few clouds,-3.94,122.5,Hotel Wixel
652,Port Antonio,JM,82.4,scattered clouds,18.18,-76.46,Trident Hotel
655,Puerto Cabezas,NI,77.25,overcast clouds,14.04,-83.39,Hotel Caribe
656,Cayenne,GF,75.2,few clouds,4.93,-52.33,Hôtel Le Dronmi
658,Tucurui,BR,75.52,overcast clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
663,Gevrai,IN,84.52,clear sky,19.27,75.75,Jaybhaye
664,Nagpur,IN,87.8,haze,21.15,79.1,Hotel Orange City
666,Xique-Xique,BR,77.18,overcast clouds,-10.82,-42.73,Hotel J. Macedo
670,Bandar-E Lengeh,IR,86.0,clear sky,26.56,54.88,کافی نت پارس
676,Kolda,SN,77.0,clear sky,12.88,-14.95,Hôtel Hobbe Chasse
682,Iranshahr,IR,78.8,clear sky,27.2,60.68,کافی نت دانشگاه
689,Aloleng,PH,84.6,overcast clouds,16.13,119.78,Agno Umbrella Rocks
692,Tuy Hoa,VN,82.58,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
